koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
non-candidate,0,1,1,1,1.506507172,178.18515,2455011.185,0.0,1.226,4.5346,880.9,0.0202,31.59,86.7,1,0.8671,3755.0,4.774,0.473,0.485,15.591
non-candidate,0,1,0,0,1.634614356,133.96855,2454966.969,0.0,1.229,3.4422,19762.0,0.0272,64.64,376.5,1,0.9598,6121.0,4.468,0.97,1.001,15.31
non-candidate,0,1,0,0,16.025018977,367.693328,2455200.693,0.0,13.239,3.8828,29090.0,0.1187,78.78,257.8,2,0.0,5776.0,4.582,0.789,0.879,15.484
candidate,0,0,0,0,10.50682978,360.082152,2455193.082,0.0,0.407,3.7769,13356.0,0.0895,88.93,343.4,1,0.6928,5127.0,4.589,0.782,0.872,15.95
non-candidate,0,1,0,0,0.711966971,134.223486,2454967.223,0.0,1.268,2.0221,6227.5,0.0141,48.11,392.2,1,0.0023,5486.0,4.47,0.83,0.741,15.469
non-candidate,0,1,1,1,17.72724392,356.795528,2455189.796,0.0,0.825,4.1073,16878.0,0.1364,88.16,109.7,1,-1.0,6181.0,4.464,1.006,1.074,15.073
candidate,0,0,0,0,321.2124365,206.930556,2455039.931,0.0,0.873,4.012,2358.6,0.9453,89.86,81.7,1,0.2828,6018.0,4.257,1.286,1.09,13.709
non-candidate,0,0,1,0,7.13895376,184.24569,2455017.246,0.0,1.199,4.568,254.2,0.0807,61.87,32.9,1,0.6219,7131.0,3.913,2.145,1.373,13.997
non-candidate,0,1,1,1,4.4645454,132.31538,2454965.315,0.0,0.808,2.8823,194.3,0.0559,83.64,37.6,1,0.0001,6093.0,3.91,1.985,1.168,13.51
candidate,0,0,0,0,11.29689442,134.57233,2454967.572,0.0,0.634,4.623,198.5,0.1033,87.54,20.9,1,0.0174,6096.0,4.358,1.176,1.155,14.788
non-candidate,0,0,1,0,19.30112039,133.35614,2454966.356,0.0,0.862,6.0752,232.3,0.1324,86.22,45.0,2,0.1122,5687.0,4.408,0.943,0.83,13.601
non-candidate,0,1,0,0,1.20320092,133.929836,2454966.93,0.0,1.274,1.9197,2807.1,0.0225,56.44,250.8,1,0.0,6218.0,4.198,1.349,1.045,11.374
candidate,0,0,0,0,5.968724048,137.158607,2454970.159,0.0,0.166,3.651,510.6,0.067,89.25,107.1,2,0.7027,6122.0,4.173,1.439,1.123,13.717
non-candidate,0,1,0,0,10.980246199,137.1376073,2454970.138,0.0,0.733,3.74464,50078.0,0.0917,88.09,1555.4,1,0.0556,5952.0,4.462,0.897,0.851,14.212
candidate,0,1,0,0,2.144632238,133.984128,2454966.984,0.0,1.228,6.2701,19837.0,0.0334,56.9,334.8,1,0.1422,6296.0,4.24,1.305,1.076,13.48
non-candidate,0,1,0,0,27.32204488,159.7472774,2454992.747,0.0,0.257,5.6716,77474.0,0.1682,89.67,3622.7,1,0.9306,5620.0,4.592,0.772,0.863,13.552
non-candidate,0,1,0,0,1.152216965,133.277861,2454966.278,0.0,0.811,2.2245,12072.0,0.0326,75.12,104.5,1,0.5948,5560.0,2.619,15.113,3.468,13.63
non-candidate,0,1,1,1,5.2972293,177.95111,2455010.951,0.0,0.022,3.799,1210.5,0.0726,89.88,31.8,1,0.9938,4631.0,2.386,14.296,1.812,13.85
candidate,0,0,0,0,133.460999,216.04334,2455049.043,0.0,0.249,11.4997,5032.9,0.5167,89.84,162.3,2,0.0001,5588.0,4.047,1.593,1.031,15.12
candidate,0,0,0,0,5.188563677,145.362252,2454978.362,0.0,0.179,2.3683,358.7,0.0484,89.39,56.4,3,0.1985,3980.0,4.722,0.54,0.56,13.738
candidate,0,0,0,0,15.19423359,142.73422,2454975.734,0.0,0.906,3.106,367.8,0.1214,87.06,18.1,2,0.7788,5588.0,4.047,1.593,1.031,15.12
non-candidate,0,0,1,1,14.17098745,359.82956,2455192.83,0.0,0.041,3.4804,3070.8,0.1068,89.93,93.6,1,0.2835,5107.0,4.565,0.777,0.807,15.379
non-candidate,0,1,1,1,31.9734169,133.86598,2454966.866,0.0,1.24,13.262,1414.4,0.1876,78.69,62.5,1,0.3427,4931.0,4.595,0.774,0.865,15.527
candidate,0,0,0,0,3.990105908,355.840837,2455188.841,0.0,0.582,2.4108,6154.9,0.0493,87.09,247.8,1,0.9883,5926.0,4.519,0.913,1.004,15.572
non-candidate,0,1,1,0,0.52205862,133.138446,2454966.138,0.0,1.24,2.0847,1381.3,0.012,28.22,169.0,1,0.9726,5359.0,4.478,0.878,0.847,15.636
candidate,0,0,0,0,10.035381809,137.471481,2454970.471,0.0,0.079,3.4062,2829.7,0.0886,89.81,150.9,1,0.6847,5813.0,4.561,0.833,0.925,15.062
non-candidate,0,1,0,0,53.100942624,135.9717179,2454968.972,0.0,0.988,2.2868,19981.0,0.263,89.56,1108.5,1,0.359,5465.0,4.396,0.973,0.859,12.907
non-candidate,0,0,1,1,5.80181368,137.57807,2454970.578,0.0,0.967,4.119,269.6,0.0665,74.49,35.3,1,0.1897,6020.0,3.86,2.097,1.162,13.752
non-candidate,0,1,1,1,15.6402515,359.07991,2455192.08,0.0,1.167,6.222,800.3,0.1123,77.78,19.3,1,0.5438,5346.0,4.491,0.826,0.771,15.908
non-candidate,0,0,1,0,0.691666384,135.94927,2454968.949,0.0,0.552,1.9603,35.6,0.0144,76.6,20.8,2,0.1323,5687.0,4.408,0.943,0.83,13.601
candidate,0,0,0,0,5.62154315,136.89013,2454969.89,0.0,0.742,2.4143,172.3,0.0603,86.54,35.3,1,0.9944,5637.0,4.439,0.96,0.924,13.687
non-candidate,0,1,1,1,1.074106954,133.84323,2454966.843,0.0,0.122,1.9797,64.5,0.0184,88.34,48.5,1,0.598,4699.0,4.637,0.676,0.756,11.748
non-candidate,0,1,0,0,5.117401517,134.586518,2454967.587,0.0,0.683,4.3056,62929.0,0.0609,85.88,456.6,1,0.1622,6161.0,4.454,1.053,1.15,15.764
non-candidate,0,1,0,0,4.20233673,179.533899,2455012.534,0.0,0.004,3.6973,45982.0,0.0524,89.98,258.8,1,0.5777,6185.0,4.396,1.094,1.083,15.653
candidate,0,0,0,0,8.50698069,134.64421,2454967.644,0.0,0.816,2.938,295.5,0.0802,86.53,20.7,1,0.5272,5822.0,4.428,0.986,0.951,15.135
non-candidate,0,1,1,1,15.60865244,144.29934,2454977.299,0.0,0.985,6.26,311.4,0.1508,79.38,46.9,1,0.8915,8014.0,3.94,2.43,1.874,13.376
candidate,0,0,0,0,0.669310092,134.131388,2454967.131,0.0,0.157,1.6274,131.8,0.0149,87.19,75.3,1,1.0,5475.0,4.426,1.003,0.977,12.521
non-candidate,0,1,1,0,4.494498254,134.77583,2454967.776,0.0,1.149,1.9742,248.2,0.0624,72.04,39.3,1,0.2584,5117.0,3.578,3.403,1.598,12.786
candidate,0,0,0,0,44.9306706,140.2077,2454973.208,0.0,0.481,6.539,438.4,0.2654,89.42,33.8,1,0.4467,6121.0,4.397,1.164,1.233,13.949
candidate,0,0,0,0,14.13175309,142.26044,2454975.26,0.0,0.848,4.0136,1033.0,0.1106,86.95,40.1,1,0.1619,5616.0,4.564,0.822,0.907,15.762
non-candidate,0,1,1,1,1.061934816,133.84801,2454966.848,0.0,1.25,3.2551,437.2,0.0202,25.09,74.5,1,0.6674,5730.0,4.545,0.87,0.968,15.062
candidate,0,0,0,0,11.41926141,137.66894,2454970.669,0.0,0.242,3.9908,915.6,0.0795,89.36,58.0,1,0.371,3823.0,4.765,0.492,0.513,15.314
non-candidate,0,1,1,0,5.93821065,136.52839,2454969.528,0.0,1.646,2.5128,522.5,0.0626,69.52,33.6,1,0.619,6123.0,4.545,0.85,0.924,14.423
candidate,0,0,0,0,268.9410974,360.070904,2455193.071,0.0,0.765,5.4434,9010.2,0.8272,89.85,120.4,1,0.3719,5798.0,4.224,1.306,1.041,14.814
non-candidate,0,1,1,0,0.655001616,133.176794,2454966.177,0.0,1.121,1.8136,271.2,0.0168,26.85,104.5,1,0.0908,6426.0,3.965,2.089,1.466,13.371
candidate,0,0,0,0,80.9669561,160.97672,2454993.977,0.0,0.007,2.5276,4733.0,0.3412,90.0,52.0,1,0.6822,5611.0,4.61,0.737,0.824,15.671
candidate,0,0,0,0,33.1996355,153.66086,2454986.661,0.0,0.017,5.022,1112.5,0.1894,89.98,32.6,1,0.655,5102.0,4.463,0.88,0.819,15.03
non-candidate,0,1,1,1,8.65306587,134.30886,2454967.309,0.0,1.222,4.486,1048.1,0.0726,74.99,43.0,2,0.9712,4641.0,4.589,0.694,0.682,15.703
candidate,0,0,0,0,6.80082032,359.17999,2455192.18,0.0,0.597,1.9883,699.9,0.0636,88.43,25.5,1,0.6681,4805.0,4.633,0.688,0.769,15.238
candidate,0,0,0,0,19.30581662,373.18998,2455206.19,0.0,0.001,4.2902,709.1,0.1428,90.0,36.3,3,0.0785,5661.0,4.09,1.522,1.04,15.151
non-candidate,0,1,0,0,3.221785738,136.141517,2454969.142,0.0,0.777,3.3411,46379.0,0.043,83.62,336.4,1,0.6738,6250.0,4.411,1.041,1.013,14.601
non-candidate,1,0,0,0,0.6243875,133.0436541,2454966.044,0.0,1.157,1.92102,36855.0,0.0122,61.97,628.3,1,-1.0,5211.0,4.644,0.618,0.612,15.487
non-candidate,0,1,0,0,18.610092584,139.0850449,2454972.085,0.0,1.258,4.98308,50834.0,0.1362,87.3,1309.3,1,0.0767,6077.0,4.526,0.891,0.974,15.84
candidate,0,0,0,0,13.22175358,139.570627,2454972.571,0.0,0.451,2.7884,876.5,0.1032,89.23,93.6,1,0.3071,5211.0,4.556,0.799,0.838,13.938
non-candidate,0,1,0,0,1.137525054,133.805565,2454966.806,0.0,1.238,2.68228,18006.0,0.0209,61.46,633.1,1,0.0,5912.0,4.467,0.937,0.939,15.452
non-candidate,0,1,0,0,23.799939273,152.5654761,2454985.565,0.0,1.137,5.02319,60186.0,0.1616,88.15,2065.8,1,0.0102,5934.0,4.473,0.957,0.991,14.669
candidate,0,0,0,0,7.16893064,135.67854,2454968.679,0.0,0.573,4.6766,112.8,0.0779,86.64,36.3,3,0.0088,6221.0,4.198,1.458,1.225,12.32
candidate,0,0,0,0,54.325574,142.236,2454975.236,0.0,0.154,9.86,44.2,0.2997,89.95,7.7,3,0.4866,6343.0,4.411,1.137,1.213,12.32
candidate,0,0,0,0,20.01959599,150.8362184,2454983.836,0.0,0.537,7.0,421.1,0.0851,88.5,23.0,3,0.4866,5767.0,4.438,1.0,0.974,12.32
non-candidate,0,1,0,0,1.22775877,133.78679,2454966.787,0.0,1.111,2.7545,46148.0,0.0227,70.27,292.7,1,0.0,6207.0,4.412,1.044,1.021,13.184
non-candidate,0,1,0,0,40.24649897,161.306577,2454994.307,0.0,0.877,6.0203,159410.0,0.2425,89.21,420.9,2,0.5557,6594.0,4.051,1.691,1.174,13.092
non-candidate,0,1,0,0,2.27999662,133.640649,2454966.641,0.0,0.739,5.7777,12831.0,0.0358,73.84,366.8,2,0.6471,6594.0,4.051,1.691,1.174,13.092
non-candidate,0,1,0,0,2.48658617,134.110364,2454967.11,0.0,0.079,2.7189,42122.0,0.0379,89.46,91.6,1,1.0,5892.0,4.35,1.198,1.173,15.418
candidate,0,0,0,0,5.729317577,138.559971,2454971.56,0.0,0.597,1.1816,865.4,0.06,88.9,59.0,2,0.9073,5320.0,4.589,0.786,0.882,14.809
candidate,0,0,0,0,11.776132317,142.705753,2454975.706,0.0,0.54,2.8971,1430.8,0.0836,88.87,163.5,3,0.3215,3980.0,4.722,0.54,0.56,13.738
candidate,0,0,0,0,11.60908533,133.99324,2454966.993,0.0,0.03,2.2603,489.3,0.096,89.96,34.1,2,0.7008,5320.0,4.589,0.786,0.882,14.809
candidate,0,0,0,0,162.0479502,278.880573,2455111.881,0.0,0.663,9.8974,4840.5,0.6344,89.64,370.2,1,0.698,6309.0,4.16,1.567,1.294,13.632
non-candidate,0,1,0,1,0.530967162,133.849416,2454966.849,0.0,1.167,3.3659,244.9,0.0132,12.61,125.5,1,0.4866,6449.0,4.316,1.193,1.069,13.586
candidate,0,0,0,0,40.05881661,169.91063,2455002.911,0.0,0.819,5.595,1239.4,0.2265,88.65,62.6,1,0.0501,5668.0,4.545,0.868,0.963,14.862
candidate,0,0,0,0,6.09747233,354.05919,2455187.059,0.0,0.012,3.431,217.6,0.0662,89.95,17.4,3,0.4297,5661.0,4.09,1.522,1.04,15.151
candidate,0,0,0,0,56.637918,135.51975,2454968.52,0.0,0.298,6.172,589.7,0.2926,89.75,20.9,3,0.2421,5661.0,4.09,1.522,1.04,15.151
non-candidate,0,0,1,1,2.243016513,133.45086,2454966.451,0.0,0.737,2.721,299.6,0.0312,80.58,59.1,1,0.2058,5462.0,4.614,0.732,0.812,13.98
non-candidate,0,1,1,1,8.6531216,134.30147,2454967.301,0.0,1.214,4.39,654.8,0.0817,73.02,35.7,2,0.2626,5421.0,4.564,0.852,0.969,15.454
candidate,0,0,0,0,8.99088621,136.73923,2454969.739,0.0,0.77,4.2447,469.7,0.0856,85.95,93.6,2,0.3623,5881.0,4.315,1.171,1.032,13.431
non-candidate,0,1,0,0,34.064566412,150.452048,2454983.452,0.0,0.524,9.6114,28450.0,0.2026,88.93,1305.9,1,0.6476,6161.0,4.517,0.892,0.955,15.443
non-candidate,0,1,0,0,4.350087749,134.800238,2454967.8,0.0,0.986,2.6428,23593.0,0.0528,84.03,192.2,1,0.8058,6060.0,4.495,0.953,1.036,14.855
non-candidate,0,1,0,0,1.744101106,134.50867,2454967.509,0.0,0.618,1.5497,9681.4,0.0253,85.46,152.6,1,1.0,4368.0,4.593,0.703,0.706,15.702
non-candidate,0,1,0,0,7.981187121,133.802114,2454966.802,0.0,1.036,1.8071,7609.5,0.0797,86.81,202.1,1,0.9109,6217.0,4.472,0.989,1.056,14.36
non-candidate,0,0,1,0,4.118775582,357.261244,2455190.261,0.0,0.754,3.76,2647.7,0.0484,83.0,125.6,1,0.6786,5944.0,4.579,0.802,0.905,15.797
candidate,0,0,0,0,1.694740233,355.357543,2455188.358,0.0,0.671,1.6864,1446.8,0.0229,83.71,92.3,1,0.9734,3764.0,4.739,0.527,0.555,15.804
non-candidate,0,1,1,0,0.971933156,133.853925,2454966.854,0.0,1.42,1.9265,4786.0,0.0184,52.85,223.1,1,0.0046,5592.0,4.445,0.931,0.883,15.289
non-candidate,0,1,0,0,121.5991278,137.27469,2454970.275,0.0,5.011,15.1596,10537.0,0.4693,85.18,297.0,1,0.7994,6036.0,4.551,0.847,0.931,14.6
candidate,0,0,0,0,15.068060768,363.549714,2455196.55,0.0,0.88,3.3011,19387.0,0.1213,88.07,282.8,1,0.5919,5982.0,4.493,0.96,1.047,15.95
candidate,0,0,0,0,7.886632468,360.514132,2455193.514,0.0,0.048,5.2147,6331.2,0.0762,89.78,392.3,1,0.5002,5847.0,4.304,1.135,0.946,15.014
candidate,0,0,0,0,8.027681123,360.171355,2455193.171,0.0,0.495,3.0942,8725.4,0.0787,88.52,461.5,1,0.9255,5569.0,4.546,0.887,1.009,15.57
candidate,0,0,0,0,704.962626,492.77178,2455325.772,0.0,0.8495,18.003,2319.1,1.4108,89.95,96.1,1,0.4866,5305.0,4.489,0.818,0.753,13.354
candidate,0,0,0,0,50.28635977,167.63351,2455000.634,0.0,0.018,6.3212,1119.3,0.2678,89.98,99.5,1,0.6261,5900.0,4.309,1.167,1.012,13.672
candidate,0,0,0,0,22.79020351,138.68515,2454971.685,0.0,0.036,5.0394,617.9,0.1528,89.94,47.7,2,0.1098,5478.0,4.354,1.053,0.914,14.766
candidate,0,0,0,0,13.26079792,139.0988,2454972.099,0.0,0.22,3.912,199.4,0.1065,89.51,17.6,2,0.5118,5478.0,4.354,1.053,0.914,14.766
non-candidate,0,1,1,1,1.061932545,133.850441,2454966.85,0.0,0.713,2.1429,133.6,0.0215,75.43,80.2,1,0.8469,6134.0,3.975,1.851,1.179,12.953
candidate,0,0,0,0,127.8334997,293.41845,2455126.418,0.0,0.416,10.914,1829.9,0.5829,89.72,76.9,1,0.2702,6505.0,3.973,2.17,1.613,13.968
candidate,0,0,0,0,10.21864532,136.8622,2454969.862,0.0,0.416,3.802,445.3,0.0927,88.76,26.6,4,0.0827,6100.0,4.376,1.083,1.017,14.82
candidate,0,0,0,0,15.573637,132.44282,2454965.443,0.0,0.946,5.326,468.1,0.1228,83.89,24.7,4,0.7735,6100.0,4.376,1.083,1.017,14.82
candidate,0,0,0,0,40.1015561,132.71244,2454965.712,0.0,0.868,5.246,550.0,0.2307,88.44,19.0,4,0.2817,6100.0,4.376,1.083,1.017,14.82
candidate,0,0,0,0,4.45814897,134.39743,2454967.397,0.0,0.754,2.867,188.1,0.0533,84.65,14.3,4,0.0296,6100.0,4.376,1.083,1.017,14.82
non-candidate,0,1,1,1,5.663621501,133.89009,2454966.89,0.0,0.169,1.2968,1225.0,0.0568,89.72,39.8,1,0.4802,4917.0,4.601,0.723,0.761,15.444
candidate,0,0,0,0,6.230335,181.29566,2455014.296,0.0,0.808,1.6493,1449.2,0.066,87.55,31.6,1,0.2825,5477.0,4.557,0.865,0.983,15.977
candidate,0,0,0,0,12.49340725,138.462232,2454971.462,0.0,0.594,2.2614,715.7,0.0994,89.04,76.2,1,0.3994,5207.0,4.561,0.795,0.84,13.575
candidate,0,0,0,0,6.62643441,183.98789,2455016.988,0.0,0.111,3.1752,814.6,0.0692,89.61,40.6,2,0.0568,5616.0,4.529,0.903,1.006,15.843
candidate,0,0,0,0,3.70122061,180.27172,2455013.272,0.0,0.178,2.523,327.4,0.0469,89.09,19.6,2,0.1236,5616.0,4.529,0.903,1.006,15.843
candidate,0,0,0,0,6.247030799,356.90972,2455189.91,0.0,0.039,1.4848,1496.6,0.0528,89.93,44.8,1,0.4448,3821.0,4.764,0.487,0.503,15.369
candidate,0,0,0,0,13.73474071,142.32752,2454975.328,0.0,0.941,2.769,746.4,0.101,86.64,31.0,1,0.1182,5196.0,4.524,0.772,0.726,15.187
candidate,0,0,0,0,700.00298217,249.44205,2455082.442,0.0,0.143,7.6525,3245.9,1.6115,89.95,60.3,1,0.4866,6487.0,4.397,1.118,1.136,13.594
candidate,0,0,0,0,272.0868353,378.13721,2455211.137,0.0,0.3629,2.7145,5572.0,0.7652,89.95,21.5,1,0.4866,5587.0,4.548,0.791,0.806,15.166
candidate,0,0,0,0,14.55387488,134.11669,2454967.117,0.0,0.955,6.973,319.7,0.1256,80.57,26.8,1,0.4522,6143.0,4.177,1.507,1.246,14.377
non-candidate,0,1,1,1,0.895277575,133.411986,2454966.412,0.0,0.928,2.711,534.5,0.0231,50.55,132.1,1,0.0789,8040.0,3.707,3.325,2.053,13.574
candidate,0,0,0,0,81.0637895,139.53492,2454972.535,0.0,0.584,3.001,476.0,0.379,89.81,19.4,4,0.1192,6198.0,4.237,1.324,1.101,13.914
candidate,0,0,0,0,24.8056775,145.07526,2454978.075,0.0,0.007,6.148,624.4,0.154,89.99,39.4,5,0.6348,5600.0,4.455,0.872,0.793,15.204
candidate,0,0,0,0,13.02493307,138.176157,2454971.176,0.0,0.004,4.5706,778.4,0.1055,89.99,119.3,6,0.4705,5657.0,4.364,1.046,0.921,13.709
candidate,0,0,0,0,44.3471936,161.31738,2454994.317,0.0,0.273,6.43,791.7,0.2269,89.7,40.5,5,0.2235,5600.0,4.455,0.872,0.793,15.204
candidate,0,0,0,0,9.2207691,138.0072,2454971.007,0.0,0.037,4.907,140.0,0.0796,89.85,13.2,5,0.2797,5600.0,4.455,0.872,0.793,15.204
candidate,0,0,0,0,13.6396648,141.7301,2454974.73,0.0,0.105,5.425,162.7,0.1034,89.69,13.3,5,0.8593,5600.0,4.455,0.872,0.793,15.204
candidate,0,0,0,0,1.922799706,134.50174,2454967.502,0.0,0.036,1.8604,259.7,0.029,89.74,30.1,1,0.6009,5194.0,4.559,0.815,0.879,14.829
candidate,0,0,0,0,3.222975318,178.0701,2455011.07,0.0,0.33,2.9247,232.7,0.0412,87.67,31.3,3,0.6705,5823.0,4.427,0.96,0.899,14.609
candidate,0,0,0,0,42.0370662,178.25006,2455011.25,0.0,0.672,6.282,266.8,0.2285,89.01,14.7,3,0.6855,5823.0,4.427,0.96,0.899,14.609
candidate,0,0,0,0,21.0112068,132.6336,2454965.634,0.0,0.853,4.507,163.6,0.1439,87.5,10.2,3,0.9828,5823.0,4.427,0.96,0.899,14.609
candidate,0,0,0,0,4.16811839,134.89621,2454967.896,0.0,0.709,2.8084,263.0,0.0507,85.09,26.7,1,0.397,5689.0,4.202,1.313,1.0,14.801
candidate,0,0,0,0,5.82348911,354.99602,2455187.996,0.0,0.877,2.2441,888.7,0.0615,85.35,38.1,1,0.276,5774.0,4.526,0.864,0.916,15.898
candidate,0,0,0,0,8.75059775,358.24233,2455191.242,0.0,0.33,2.8288,881.9,0.0797,89.18,28.3,1,0.9018,4942.0,4.599,0.779,0.884,15.92
non-candidate,0,1,1,0,9.41475056,142.32936,2454975.329,0.0,1.148,4.736,483.4,0.0891,72.08,55.2,1,0.7452,6406.0,4.436,1.033,1.061,13.66
non-candidate,1,0,0,0,0.56669006,133.81294,2454966.813,0.0,0.7102,2.1674,104.6,0.0147,64.74,53.8,1,0.4866,6899.0,4.273,1.386,1.321,13.44
candidate,0,0,0,0,7.13969705,137.18652,2454970.187,0.0,0.027,3.981,512.9,0.075,89.89,27.8,1,0.8873,6014.0,4.486,0.993,1.101,15.906
candidate,0,0,0,0,18.75470238,141.7172,2454974.717,0.0,0.034,3.0331,995.3,0.1139,89.96,33.2,1,0.1122,3976.0,4.721,0.54,0.559,15.473
non-candidate,0,0,1,0,3.00363219,135.64129,2454968.641,0.0,0.727,3.732,101.2,0.0414,80.46,38.5,1,0.1567,6309.0,4.217,1.32,1.046,12.476
candidate,0,0,0,0,11.30123036,134.91855,2454967.919,0.0,0.117,4.022,277.1,0.0988,89.69,18.5,1,0.1431,5730.0,4.34,1.122,1.005,14.981
non-candidate,0,1,1,1,0.796722833,133.07985,2454966.08,0.0,0.601,2.4551,107.1,0.016,73.79,43.9,1,0.9478,5959.0,4.121,1.334,0.858,13.379
candidate,0,0,0,0,4.24153629,133.45522,2454966.455,0.0,0.257,2.971,188.1,0.0491,88.62,18.0,1,0.8851,5776.0,4.34,1.047,0.875,14.621
candidate,0,0,0,0,17.32419108,142.09977,2454975.1,0.0,0.764,8.045,241.3,0.1385,86.03,49.1,2,0.6412,5968.0,3.972,1.857,1.179,13.42
candidate,0,0,0,0,14.37457572,138.20189,2454971.202,0.0,0.035,4.7892,335.8,0.1137,89.91,55.2,2,0.5121,5768.0,4.358,1.067,0.946,13.749
candidate,0,0,0,0,9.65188331,132.15947,2454965.159,0.0,0.122,4.296,103.2,0.0872,89.59,19.8,2,0.7969,5768.0,4.358,1.067,0.946,13.749
non-candidate,0,0,1,1,6.0990118,135.52357,2454968.524,0.0,0.688,3.6112,227.5,0.067,85.92,39.3,1,0.3275,5743.0,3.881,1.971,1.077,13.951
candidate,0,0,0,0,49.4781446,141.82465,2454974.825,0.0,0.048,2.493,496.6,0.2587,89.98,20.4,1,0.6312,5776.0,4.554,0.849,0.939,14.427
candidate,0,0,0,0,30.8639476,162.88077,2454995.881,0.0,0.907,8.864,256.5,0.1978,85.76,63.0,1,0.44,5977.0,4.08,1.571,1.081,12.547
candidate,0,0,0,0,2.403640701,134.73065,2454967.731,0.0,0.918,1.4012,74.9,0.0355,80.55,16.3,2,0.4825,5881.0,4.315,1.171,1.032,13.431
non-candidate,0,0,1,1,2.90060781,179.83386,2455012.834,0.0,0.47,2.563,124.8,0.0423,86.53,20.6,1,0.1407,6547.0,4.241,1.371,1.198,13.887
candidate,0,0,0,0,4.51436096,134.0293,2454967.029,0.0,0.118,3.0083,230.7,0.055,89.42,28.4,1,0.374,5940.0,4.306,1.215,1.091,14.946
candidate,0,0,0,0,3.77359871,134.07013,2454967.07,0.0,0.0,2.7282,176.0,0.0453,90.0,25.6,2,0.518,6224.0,4.404,0.969,0.868,14.207
candidate,0,0,0,0,8.18182189,134.81423,2454967.814,0.0,0.655,2.4566,299.6,0.0759,88.11,27.4,2,0.1856,6224.0,4.404,0.969,0.868,14.207
candidate,0,0,0,0,13.32389352,135.24585,2454968.246,0.0,0.073,3.2208,781.3,0.0862,89.87,25.9,2,0.1702,3751.0,4.813,0.45,0.479,15.931
candidate,0,0,0,0,4.919584997,134.602396,2454967.602,0.0,0.243,4.1988,425.7,0.0605,88.43,132.0,1,0.4412,6236.0,4.246,1.378,1.224,13.273
candidate,0,0,0,0,11.41911886,186.30498,2455019.305,0.0,0.947,5.135,509.2,0.107,81.99,23.7,1,0.0057,6311.0,4.398,1.172,1.253,15.965
candidate,0,0,0,0,11.36113254,136.92584,2454969.926,0.0,0.734,4.1886,569.5,0.1013,87.16,57.0,1,0.3614,6244.0,4.46,1.009,1.069,14.63
non-candidate,1,0,0,0,1.3866358,134.3472,2454967.347,0.0,0.3783,4.77,70.1,0.0239,80.21,6.8,1,0.4866,5693.0,4.551,0.856,0.95,15.755
candidate,0,0,0,0,14.53410833,145.42643,2454978.426,0.0,0.766,3.3094,510.6,0.0956,88.07,32.5,2,0.6231,3957.0,4.693,0.553,0.551,14.688
candidate,0,0,0,0,33.0063185,145.38821,2454978.388,0.0,0.39,7.118,278.1,0.2129,89.33,38.2,2,0.8242,5968.0,3.972,1.857,1.179,13.42
candidate,0,0,0,0,11.13127159,134.36341,2454967.363,0.0,0.01,4.2372,211.2,0.1036,89.97,36.8,1,0.0876,5800.0,4.202,1.435,1.195,13.459
non-candidate,0,0,1,1,3.47143963,133.74061,2454966.741,0.0,0.719,3.663,99.8,0.0471,82.04,27.5,1,0.3186,6341.0,4.409,1.111,1.154,13.599
candidate,0,0,0,0,29.6193891,133.68205,2454966.682,0.0,0.046,4.9595,314.7,0.1817,89.94,42.5,1,0.9765,5618.0,4.401,0.996,0.911,13.331
non-candidate,1,0,0,0,3.50376155,134.6825677,2454967.683,0.0,0.537,3.16,421.1,0.0851,88.5,23.0,1,0.4866,5767.0,4.438,1.0,0.974,14.463
candidate,0,0,0,0,8.925079516,139.71389,2454972.714,0.0,0.74,2.6766,977.5,0.0763,87.69,135.8,2,0.7416,4728.0,4.628,0.693,0.768,13.461
candidate,0,0,0,0,8.0922105,138.04535,2454971.045,0.0,0.951,5.7696,65.3,0.0764,75.28,37.5,1,0.2432,5774.0,4.106,1.395,0.907,11.731
non-candidate,0,1,0,1,3.117087797,134.684738,2454967.685,0.0,1.255,3.06941,12152.0,0.0471,75.25,441.7,1,0.0,6338.0,3.973,2.046,1.434,11.397
candidate,0,0,0,0,22.687155,148.455435,2454981.455,0.0,0.023,5.4921,960.0,0.1528,89.96,122.8,6,0.0093,5657.0,4.364,1.046,0.921,13.709
non-candidate,0,1,0,0,0.937406378,134.726531,2454967.727,0.0,0.8735,1.9515,5079.6,0.0179,69.33,138.9,1,0.4866,5480.0,4.529,0.843,0.876,14.546
non-candidate,0,1,1,1,0.668483615,178.281377,2455011.281,0.0,1.269,2.0909,2899.8,0.0145,39.03,161.2,1,0.9588,5546.0,4.575,0.81,0.907,15.905
non-candidate,0,1,0,0,4.429633087,355.143546,2455188.144,0.0,1.264,3.0257,6120.1,0.0498,77.56,166.3,1,0.9876,5344.0,4.545,0.809,0.837,15.91
non-candidate,0,0,1,1,1.544927524,133.54909,2454966.549,0.0,0.533,1.0134,138.5,0.0264,86.95,25.4,1,0.9041,6309.0,4.34,1.132,1.018,13.643
