disposition,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_ratror,st_teff,st_rad,sy_gaiamag
non-candidate,1,0,6.7713125000000005,2.6,0.0305049999999999,4419.0,0.52,15.0199
candidate,1,0,12.726743,1.91,0.02141,4767.0,0.73,14.3001
candidate,1,0,13.2359,2.09,0.0208,5292.0,0.924,14.0478
candidate,1,0,0.18746328,217.0,0.1236,46696.0,17.27,17.1671
candidate,1,0,8.6382631,8.53,0.162,3720.0,0.5,16.8969
candidate,1,0,8.63829,6.81,0.1408,3960.0,0.438,16.8969
candidate,1,0,8.6381,15.99,0.0305049999999999,3987.0,0.5,16.8969
candidate,1,0,8.63795,15.1,0.317,5292.0,0.438,16.8969
non-candidate,1,0,5.7968861,24.2,0.3232,4721.0,0.72,11.7062
non-candidate,1,0,5.79687,27.81,0.0305049999999999,5192.0,0.79,11.7062
candidate,1,0,0.4775252,20.1,0.353,5292.0,0.522,14.9507
candidate,1,0,22.197992,5.34,0.112,3508.0,0.4,16.6412
candidate,1,0,44.394,4.07,0.1174,5292.0,0.318,16.6412
candidate,1,0,3.29163,1.17,0.0189,5292.0,0.567,13.3201
candidate,1,0,3.2908998,1.57,0.01804,4671.0,0.72,13.3201
candidate,1,2,0.877214,1.3,0.0126,5820.0,0.93,11.6477
candidate,1,2,0.87724,1.565,0.0147,5679.0,0.98,11.6477
candidate,1,2,0.87703,1.2,0.0114,5711.17,0.990833,11.6477
candidate,1,2,0.877183,1.40575209,0.013821,5705.0,0.932487,11.6477
candidate,1,0,2.8964139,2.45,0.04958,3547.0,0.42,14.2008
candidate,1,0,2.89607106,2.6,0.0305049999999999,3565.0,0.524138,14.2008
candidate,1,0,2.896528,1.45,0.0551,5292.0,0.242,14.2008
candidate,1,0,0.44433632,1.01,0.01068,5208.0,0.8,11.9479
candidate,1,0,0.444372,1.22,0.0136,5540.0,0.82,11.9479
candidate,1,2,3.80464,1.22,0.0093,5292.0,0.864,11.9456
candidate,1,0,7.28161,1.78,0.0305049999999999,3742.0,0.49,14.0514
candidate,1,0,7.28116,1.79,0.033,3726.0,0.541438,14.0514
candidate,1,0,7.28076,2.6,0.06,5292.0,0.399,14.0514
candidate,1,0,7.28138,17.0,0.41,3784.0,0.399,14.0514
candidate,1,0,7.28131,1.9,0.03172,3748.0,0.51,14.0514
candidate,1,0,4.58328,2.21,0.0372,5292.0,0.545,14.635
candidate,1,0,1.65336,1.51,0.0254,5292.0,0.545,14.635
candidate,1,0,5.28081,10.9,0.0328,6227.0,3.01,11.4346
candidate,1,0,5.28130579,2.6,0.0305049999999999,6161.41,2.66957,11.4346
candidate,1,0,440.0,16.3,0.176,4600.0,0.85,12.771
candidate,1,0,30.0,22.8,0.24,3400.0,0.89,15.0949
candidate,1,0,6.7713125000000005,24.9,0.38,5292.0,0.6009,15.0949
candidate,1,0,7.655533,2.328,0.0284,5114.0,0.751,14.4478
non-candidate,1,0,27.770388,25.1,0.3722,4598.0,0.71,13.2049
non-candidate,1,0,27.77045,32.79,0.0305049999999999,5086.0,8.15,13.2049
candidate,1,0,0.259669,0.77,0.0102,4340.0,0.69,12.6702
candidate,1,0,0.25967056,0.742,0.01095,3982.0,0.59,12.6702
candidate,1,0,5.54583,0.441,0.0119,5292.0,0.34,12.6702
candidate,1,0,18.4502,2.52,0.0322,5292.0,0.717,14.6214
candidate,1,1,35.621,1.89,0.0305049999999999,5440.0,0.898,11.9397
candidate,1,0,4.1333,1.2,0.0352,5292.0,0.312,15.3174
candidate,1,0,1.9611469,5.93,0.08768,4166.0,0.64,14.9824
candidate,1,0,1.96133691104,15.86577929,0.0305049999999999,4427.0,1.06738,14.9824
candidate,1,0,40.7302,7.8,0.0719,5840.0,0.98,14.391
candidate,1,0,40.7362,7.28,0.0305049999999999,5618.0,0.85,14.391
candidate,1,0,18.10220826,2.6,0.0305049999999999,6141.1,2.04778,9.76589
candidate,1,0,0.60408352,2.26,0.02829,4331.0,0.67,15.9321
candidate,1,0,3.52743,1.11,0.0389,3624.0,0.257,15.6549
candidate,1,0,3.52725,1.21,0.043,5292.0,0.257,15.6549
candidate,1,0,3.52674,1.32,0.038,3413.0,0.350987,15.6549
candidate,1,0,3.5269024,2.98,0.04037,4332.0,0.67,15.6549
candidate,1,0,6340.0,12.8,0.133,4800.0,0.88,14.6744
candidate,1,0,9.321691,17.325,0.234,5089.0,0.678,20.2478
candidate,1,0,6.662,1.59,0.0302,5292.0,0.483,15.4615
candidate,1,3,2.71578,1.03,0.015,5292.0,0.864,14.3234
candidate,1,1,2.0478,0.90819,0.0127,4520.0,0.655,12.6702
candidate,1,0,6.7713125000000005,35.0,0.253,5292.0,1.266,11.5585
non-candidate,1,0,27.27048734,2.6,0.0305049999999999,5990.87,2.564,11.1348
non-candidate,1,0,27.242808,93.0,0.336,5292.0,2.54,11.1348
non-candidate,1,0,27.24273,31.73,0.0305049999999999,6166.0,0.92,11.1348
