koi_disposition,kepid,kepoi_name,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_time0bk,koi_tce_plnt_num,is_confirmed,any_false_positive_flag,koi_period_log,koi_prad_log,koi_teq_log
CONFIRMED,10910878,K00757.02,CANDIDATE,0.992,0,0,0,0,41.19725502,0.045,4.6297,2213.9,3.86,439.0,8.76,51.2,5031.0,4.485,0.848,15.841,286.99948,48.37579,165.00404,2.0,1,0,3.718371628407733,1.3506671834767394,6.0844994130751715
CONFIRMED,10910878,K00757.03,CANDIDATE,1.0,0,0,0,0,6.252962249,0.105,2.5819,1036.9,2.65,823.0,108.3,47.1,5031.0,4.485,0.848,15.841,286.99948,48.37579,171.30126,3.0,1,0,1.8330553113048225,0.9745596399981308,6.71295620067707
CONFIRMED,10987985,K00758.01,CANDIDATE,1.0,0,0,0,0,16.01308419,0.799,3.2554,1121.9,3.1,593.0,29.31,33.2,5015.0,4.499,0.826,15.39,297.02563,48.478588,176.3608,1.0,1,0,2.773406149929716,1.1314021114911006,6.385194398997726
CONFIRMED,11018648,K00759.01,CANDIDATE,1.0,0,0,0,0,32.62876672,0.021,4.7971,1804.8,3.36,506.0,15.55,80.0,5586.0,4.56,0.798,15.082,285.71854,48.505859,194.1019,1.0,1,0,3.4851943139975967,1.2119409739751128,6.226536669287466
CONFIRMED,11018648,K00759.02,CANDIDATE,0.978,0,0,0,0,91.7732862,0.606,6.473,652.0,2.12,359.0,3.92,19.1,5586.0,4.56,0.798,15.082,285.71854,48.505859,193.8378,2.0,1,0,4.519321255277729,0.7514160886839212,5.883322388488279
CONFIRMED,11138155,K00760.01,CANDIDATE,1.0,0,0,0,0,4.959319244,0.831,2.22739,9802.0,12.21,1103.0,349.4,696.5,5712.0,4.359,1.082,15.263,292.16705,48.727589,172.2585292,1.0,1,0,1.6012684821237553,2.502255288122613,7.005789019253503
FALSE POSITIVE,11152159,K00761.01,FALSE POSITIVE,0.0,0,1,1,0,2.701287801,1.016,3.3827,860.4,6.54,1222.0,527.81,48.3,5550.0,4.468,0.91,15.54,297.92365,48.777321,170.69579,1.0,0,1,0.9937286226327618,1.8779371654691073,7.108244139731541
CONFIRMED,11153539,K00762.01,CANDIDATE,1.0,0,0,0,0,4.49876511,0.312,3.7362,460.0,2.1,1133.0,389.62,29.5,6075.0,4.486,0.969,15.395,298.45685,48.791592,171.34905,1.0,1,0,1.503802939116216,0.7419373447293773,7.0326242610280065
FALSE POSITIVE,11242721,K00763.01,FALSE POSITIVE,0.0,0,1,0,0,19.651209505,0.723,5.2514,11766.0,12.42,730.0,67.03,513.4,6074.0,4.391,1.063,15.536,291.0939,48.933842,179.401981,1.0,0,1,2.9781388888383007,2.519308076505333,6.593044534142437
CONFIRMED,9579641,K00115.01,CANDIDATE,1.0,0,0,0,0,5.412203927,0.787,2.9472,601.6,2.94,1093.0,337.68,166.7,5779.0,4.339,1.087,12.791,287.88733,46.276241,133.143089,1.0,1,0,1.6886563901234084,1.0784095813505903,6.996681488176539
CONFIRMED,11304958,K00764.01,CANDIDATE,0.998,0,0,0,0,41.43958662,0.355,10.5989,2793.1,5.5,516.0,16.72,141.1,5468.0,4.367,1.046,15.4,295.55505,49.017342,208.93203,1.0,1,0,3.724236622515373,1.7047480922384253,6.246106765481563
CONFIRMED,11391957,K00765.01,CANDIDATE,1.0,0,0,0,0,8.35389523,0.023,2.2514,1041.6,2.52,790.0,91.9,43.4,5592.0,4.582,0.787,15.317,285.49924,49.277351,171.63257,1.0,1,0,2.1227279246987587,0.9242589015233319,6.672032945461067
CONFIRMED,11403044,K00766.01,CANDIDATE,1.0,0,0,0,0,4.125543472,0.597,3.1744,1487.3,4.43,1243.0,565.35,128.6,6174.0,4.417,1.103,15.506,291.93616,49.253979,169.752585,1.0,1,0,1.4171977618961504,1.4883995840570443,7.1252830915107115
CONFIRMED,11414511,K00767.01,CANDIDATE,1.0,0,0,0,0,2.816504904,0.105,2.50587,16814.0,12.21,1219.0,521.13,1406.8,5532.0,4.452,0.955,15.052,297.01547,49.225288,170.9676846,1.0,1,0,1.0354967205192322,2.502255288122613,7.105786129481271
FALSE POSITIVE,11442465,K00768.01,FALSE POSITIVE,0.0,0,1,1,0,33.93373447,0.812,14.561,8503.7,7.34,430.0,8.11,236.1,5040.0,4.628,0.705,15.716,284.17233,49.360722,186.67608,1.0,0,1,3.524409636694748,1.9933388426264242,6.063785208687608
CONFIRMED,12110942,K00786.01,CANDIDATE,1.0,0,0,0,0,3.689920099,0.151,2.6557,426.7,1.89,1147.0,408.99,35.6,5880.0,4.518,0.917,15.242,291.62241,50.61824,170.36571,1.0,1,0,1.305604804430464,0.636576829071551,7.044905117129371
CONFIRMED,12366084,K00787.01,CANDIDATE,1.0,0,0,0,0,4.431238488,0.405,3.15,1010.9,3.25,1104.0,351.23,71.1,5714.0,4.428,1.015,15.367,295.81616,51.121738,171.015,1.0,1,0,1.4886791133823731,1.1786549963416462,7.00669522683704
CONFIRMED,12366084,K00787.02,CANDIDATE,1.0,0,0,0,0,11.37936986,0.911,2.6255,1023.5,3.95,806.0,99.68,37.9,5714.0,4.428,1.015,15.367,295.81616,51.121738,133.84992,2.0,1,0,2.431802054581587,1.3737155789130306,6.692083742506628
CONFIRMED,12404086,K00788.01,CANDIDATE,1.0,0,0,0,0,26.39432897,0.602,3.573,1510.9,3.07,489.0,13.49,48.2,5129.0,4.595,0.763,15.234,289.39972,51.25032,176.05459,1.0,1,0,3.2731491753344994,1.1216775615991057,6.192362489474872
